alpha,beta,gamma,nDCG
0.5,0.0,0.0,0.7345921635823556
0.5,0.0,0.05,0.7347137007016242
0.5,0.0,0.1,0.7314347870117395
0.5,0.0,0.15,0.7318047310862338
0.5,0.0,0.2,0.7318031424328175
0.5,0.15,0.0,0.705884513099771
0.5,0.15,0.05,0.7061384313615128
0.5,0.15,0.1,0.7072242805024748
0.5,0.15,0.15,0.7081661836813964
0.5,0.15,0.2,0.7101839811849913
0.5,0.25,0.0,0.70494878292703
0.5,0.25,0.05,0.7051472937443427
0.5,0.25,0.1,0.7050722183002867
0.5,0.25,0.15,0.7053883046208462
0.5,0.25,0.2,0.7066814366662051
0.5,0.4,0.0,0.703610143562952
0.5,0.4,0.05,0.7051390113402369
0.5,0.4,0.1,0.7046105681173909
0.5,0.4,0.15,0.7034315548707869
0.5,0.4,0.2,0.7035462496996087
0.5,0.5,0.0,0.7034757190585024
0.5,0.5,0.05,0.7043751035795188
0.5,0.5,0.1,0.7031500017672512
0.5,0.5,0.15,0.7040890948387186
0.5,0.5,0.2,0.7036123140661438
0.5,0.75,0.0,0.7025810581197253
0.5,0.75,0.05,0.7035625471063391
0.5,0.75,0.1,0.7037910318014041
0.5,0.75,0.15,0.7038815853625284
0.5,0.75,0.2,0.7026175275820399
0.5,1.0,0.0,0.703301312736446
0.5,1.0,0.05,0.7035578813804013
0.5,1.0,0.1,0.7036323969240456
0.5,1.0,0.15,0.7035301998291742
0.5,1.0,0.2,0.7036414744656725
0.5,1.25,0.0,0.7028335419885045
0.5,1.25,0.05,0.7034864535655113
0.5,1.25,0.1,0.7034160410140227
0.5,1.25,0.15,0.7034266326814792
0.5,1.25,0.2,0.7035220909866913
0.75,0.0,0.0,0.7345921635823556
0.75,0.0,0.05,0.7346462590712473
0.75,0.0,0.1,0.7313748143706676
0.75,0.0,0.15,0.7314347870117395
0.75,0.0,0.2,0.7314169265516158
0.75,0.15,0.0,0.7073422109156093
0.75,0.15,0.05,0.7066646074803471
0.75,0.15,0.1,0.7075524964329102
0.75,0.15,0.15,0.7086913347961123
0.75,0.15,0.2,0.7111637016451993
0.75,0.25,0.0,0.7054617729127413
0.75,0.25,0.05,0.7059450269852319
0.75,0.25,0.1,0.7060826916632396
0.75,0.25,0.15,0.7071172566202764
0.75,0.25,0.2,0.7078709709274529
0.75,0.4,0.0,0.7048373508831824
0.75,0.4,0.05,0.7050149373395884
0.75,0.4,0.1,0.7050557228279188
0.75,0.4,0.15,0.7048687347075981
0.75,0.4,0.2,0.7051245981543393
0.75,0.5,0.0,0.7045927713717869
0.75,0.5,0.05,0.7048567904282079
0.75,0.5,0.1,0.7054646569872262
0.75,0.5,0.15,0.7042318105974484
0.75,0.5,0.2,0.7045304896628329
0.75,0.75,0.0,0.7034757190585024
0.75,0.75,0.05,0.7043629773326803
0.75,0.75,0.1,0.7043656085421337
0.75,0.75,0.15,0.7031500017672512
0.75,0.75,0.2,0.7024246287720052
0.75,1.0,0.0,0.7029859660725952
0.75,1.0,0.05,0.7036895185331645
0.75,1.0,0.1,0.7036767679550685
0.75,1.0,0.15,0.7036040543233184
0.75,1.0,0.2,0.7037827771323012
0.75,1.25,0.0,0.7025028427076723
0.75,1.25,0.05,0.7035628500757152
0.75,1.25,0.1,0.7036264222853397
0.75,1.25,0.15,0.7037086377298222
0.75,1.25,0.2,0.7035997338349278
1.0,0.0,0.0,0.7345921635823556
1.0,0.0,0.05,0.7346092261621392
1.0,0.0,0.1,0.7347137007016242
1.0,0.0,0.15,0.7314594278986128
1.0,0.0,0.2,0.7314347870117395
1.0,0.15,0.0,0.7089981442570342
1.0,0.15,0.05,0.709031999147038
1.0,0.15,0.1,0.7108088900570296
1.0,0.15,0.15,0.713358225037814
1.0,0.15,0.2,0.7142957591216016
1.0,0.25,0.0,0.7061875638472614
1.0,0.25,0.05,0.7065108959163388
1.0,0.25,0.1,0.7066076436166625
1.0,0.25,0.15,0.7073718567262054
1.0,0.25,0.2,0.7072306409928765
1.0,0.4,0.0,0.7050561396686273
1.0,0.4,0.05,0.7055311264328051
