alpha,beta,gamma,qid,nDCG
1.0,0.0,0.0,1.0,0.7312321830660161
1.0,0.0,0.0,2.0,0.8044772741238141
1.0,0.0,0.0,3.0,0.8205766308703918
1.0,0.0,0.0,4.0,0.75286910734302
1.0,0.0,0.0,5.0,0.664000898291875
1.0,0.0,0.0,6.0,0.9023805478161486
1.0,0.0,0.0,7.0,0.8470655455601241
1.0,0.0,0.0,8.0,0.6069575079106281
1.0,0.0,0.0,9.0,1.0
1.0,0.0,0.0,10.0,0.7241271138079718
1.0,0.0,0.0,11.0,0.6706224680675166
1.0,0.0,0.0,12.0,0.7336177582250786
1.0,0.0,0.0,13.0,0.7340781976436146
1.0,0.0,0.0,14.0,0.7021283814846563
1.0,0.0,0.0,15.0,0.7048375328764444
1.0,0.0,0.0,16.0,0.7435057083983848
1.0,0.0,0.0,17.0,0.815140587152361
1.0,0.0,0.0,18.0,0.9323383816784452
1.0,0.0,0.0,19.0,0.7127058603547262
1.0,0.0,0.0,20.0,0.9622586924209799
1.0,0.0,0.0,21.0,0.7843649610573292
1.0,0.0,0.0,22.0,0.7316176179206297
1.0,0.0,0.0,23.0,0.8749580905703221
1.0,0.0,0.0,24.0,0.9351289888230347
1.0,0.0,0.0,25.0,0.7836459393470151
1.0,0.0,0.0,26.0,0.8851289493865597
1.0,0.0,0.0,27.0,0.9289431766373645
1.0,0.0,0.0,28.0,0.9687701120711851
1.0,0.0,0.0,29.0,0.7346196842733943
1.0,0.0,0.0,30.0,0.8903843179572438
1.0,0.0,0.0,31.0,0.6083499019307883
1.0,0.0,0.0,32.0,0.7699486430667715
1.0,0.0,0.0,33.0,0.7421369589355566
1.0,0.0,0.0,34.0,0.708984601952038
1.0,0.0,0.0,35.0,0.7604060708182464
1.0,0.0,0.0,36.0,0.9528463456100996
1.0,0.0,0.0,37.0,0.7734468029194852
1.0,0.0,0.0,38.0,0.8677069182901669
1.0,0.0,0.0,39.0,0.9051227282338002
1.0,0.0,0.0,40.0,0.8413999669153441
1.0,0.75,0.15,1.0,0.8904285119631091
1.0,0.75,0.15,2.0,0.8307283534672457
1.0,0.75,0.15,3.0,0.7203425154147975
1.0,0.75,0.15,4.0,0.8865270896301954
1.0,0.75,0.15,5.0,0.727381218605945
1.0,0.75,0.15,6.0,0.9600582524379959
1.0,0.75,0.15,7.0,0.9667359433753905
1.0,0.75,0.15,8.0,0.6069575079106281
1.0,0.75,0.15,9.0,1.0
1.0,0.75,0.15,10.0,0.8575872195277642
1.0,0.75,0.15,11.0,0.733264732705776
1.0,0.75,0.15,12.0,0.8305762137509056
1.0,0.75,0.15,13.0,0.7779836734602742
1.0,0.75,0.15,14.0,0.7697030426296967
1.0,0.75,0.15,15.0,0.8250864264638643
1.0,0.75,0.15,16.0,0.780805147164343
1.0,0.75,0.15,17.0,0.7745511256312493
1.0,0.75,0.15,18.0,0.9243708433999418
1.0,0.75,0.15,19.0,0.8334084001129186
1.0,0.75,0.15,20.0,0.9733602890634182
1.0,0.75,0.15,21.0,0.8746918900154909
1.0,0.75,0.15,22.0,0.9258220661614265
1.0,0.75,0.15,23.0,0.8802300420768907
1.0,0.75,0.15,24.0,0.9452799619083669
1.0,0.75,0.15,25.0,0.8643161274598201
1.0,0.75,0.15,26.0,0.9005896556991995
1.0,0.75,0.15,27.0,0.9014157464417676
1.0,0.75,0.15,28.0,0.9582306643817828
1.0,0.75,0.15,29.0,0.8956236371332824
1.0,0.75,0.15,30.0,0.924492810990695
1.0,0.75,0.15,31.0,0.6750344989467532
1.0,0.75,0.15,32.0,0.9087125813305325
1.0,0.75,0.15,33.0,0.8878138809225659
1.0,0.75,0.15,34.0,0.9053467054574527
1.0,0.75,0.15,35.0,0.7709672291854627
1.0,0.75,0.15,36.0,0.9889640032471564
1.0,0.75,0.15,37.0,0.8532069096058267
1.0,0.75,0.15,38.0,0.9559965812832015
1.0,0.75,0.15,39.0,0.9739151457367641
1.0,0.75,0.15,40.0,0.8815445168768762
1.0,0.5,0.1,1.0,0.889141613055558
1.0,0.5,0.1,2.0,0.8307283534672457
1.0,0.5,0.1,3.0,0.7203223983310368
1.0,0.5,0.1,4.0,0.8865270896301954
1.0,0.5,0.1,5.0,0.727381218605945
1.0,0.5,0.1,6.0,0.9602274102105476
1.0,0.5,0.1,7.0,0.9664230132985132
1.0,0.5,0.1,8.0,0.6069575079106281
1.0,0.5,0.1,9.0,1.0
1.0,0.5,0.1,10.0,0.8566376044394178
1.0,0.5,0.1,11.0,0.7331926323363173
1.0,0.5,0.1,12.0,0.8312425783610854
1.0,0.5,0.1,13.0,0.7779836734602742
1.0,0.5,0.1,14.0,0.7533402817164204
1.0,0.5,0.1,15.0,0.8250864264638643
1.0,0.5,0.1,16.0,0.780805147164343
1.0,0.5,0.1,17.0,0.7753798676968627
1.0,0.5,0.1,18.0,0.9247195902231928
1.0,0.5,0.1,19.0,0.8336527592152327
1.0,0.5,0.1,20.0,0.9737604974017109
1.0,0.5,0.1,21.0,0.8745390533071844
1.0,0.5,0.1,22.0,0.9258336000598101
1.0,0.5,0.1,23.0,0.8831742221004074
1.0,0.5,0.1,24.0,0.9462050821197963
1.0,0.5,0.1,25.0,0.8644379672889313
1.0,0.5,0.1,26.0,0.9011041981036356
1.0,0.5,0.1,27.0,0.9020706442912787
1.0,0.5,0.1,28.0,0.959391053912621
1.0,0.5,0.1,29.0,0.8942811715699399
1.0,0.5,0.1,30.0,0.9260063394552712
1.0,0.5,0.1,31.0,0.6750344989467532
1.0,0.5,0.1,32.0,0.9087125813305325
1.0,0.5,0.1,33.0,0.8879344658829396
1.0,0.5,0.1,34.0,0.9053467054574527
1.0,0.5,0.1,35.0,0.7724570326009157
1.0,0.5,0.1,36.0,0.9888912353697469
1.0,0.5,0.1,37.0,0.8524205023593986
1.0,0.5,0.1,38.0,0.9558551025693208
1.0,0.5,0.1,39.0,0.9739103518872799
1.0,0.5,0.1,40.0,0.8821509801037128
1.0,0.95,0.05,1.0,0.8834399567492691
1.0,0.95,0.05,2.0,0.8307283534672457
1.0,0.95,0.05,3.0,0.7143802250476669
1.0,0.95,0.05,4.0,0.8865270896301954
1.0,0.95,0.05,5.0,0.7270462138087715
