alpha,beta,gamma,qid,nDCG
0.5,0.0,0.0,1.0,0.7580193053814283
0.5,0.0,0.0,2.0,0.7853479087670131
0.5,0.0,0.0,3.0,0.8022206726016661
0.5,0.0,0.0,4.0,0.2861563362915474
0.5,0.0,0.0,5.0,0.5968649950357722
0.5,0.0,0.0,6.0,0.9190566776382042
0.5,0.0,0.0,7.0,0.8187481415128685
0.5,0.0,0.0,8.0,0.38097179678159365
0.5,0.0,0.0,9.0,0.0
0.5,0.0,0.0,10.0,0.7460981570733123
0.5,0.0,0.0,11.0,0.5339769271452551
0.5,0.0,0.0,12.0,0.6964737939837653
0.5,0.0,0.0,13.0,0.5106153930421619
0.5,0.0,0.0,14.0,0.7505998004122226
0.5,0.0,0.0,15.0,0.5857766766996702
0.5,0.0,0.0,16.0,0.750025488910772
0.5,0.0,0.0,17.0,0.8616922496028258
0.5,0.0,0.0,18.0,0.938804165754032
0.5,0.0,0.0,19.0,0.6941964766825469
0.5,0.0,0.0,20.0,0.9594096961179573
0.5,0.0,0.0,21.0,0.808476828423383
0.5,0.0,0.0,22.0,0.7177356019087616
0.5,0.0,0.0,23.0,0.8580031460209774
0.5,0.0,0.0,24.0,0.9478615993205944
0.5,0.0,0.0,25.0,0.7811492686056666
0.5,0.0,0.0,26.0,0.8831166675690544
0.5,0.0,0.0,27.0,0.9451245164262162
0.5,0.0,0.0,28.0,0.9676661587670118
0.5,0.0,0.0,29.0,0.7917589979302313
0.5,0.0,0.0,30.0,0.9175947157086635
0.5,0.0,0.0,31.0,0.34111602847245287
0.5,0.0,0.0,32.0,0.6939405624207662
0.5,0.0,0.0,33.0,0.7639782313281701
0.5,0.0,0.0,34.0,0.4019478897764649
0.5,0.0,0.0,35.0,0.7175680401007659
0.5,0.0,0.0,36.0,0.9614920168610935
0.5,0.0,0.0,37.0,0.7619261644053233
0.5,0.0,0.0,38.0,0.9273066179905303
0.5,0.0,0.0,39.0,0.9538941249679274
0.5,0.0,0.0,40.0,0.8669747068555468
0.5,0.0,0.05,1.0,0.7580193053814283
0.5,0.0,0.05,2.0,0.7853479087670131
0.5,0.0,0.05,3.0,0.802368505433333
0.5,0.0,0.05,4.0,0.2861563362915474
0.5,0.0,0.05,5.0,0.5969997775972987
0.5,0.0,0.05,6.0,0.9184418366438877
0.5,0.0,0.05,7.0,0.8188757898719015
0.5,0.0,0.05,8.0,0.38097179678159365
0.5,0.0,0.05,9.0,0.0
0.5,0.0,0.05,10.0,0.7460981570733123
0.5,0.0,0.05,11.0,0.534147486649862
0.5,0.0,0.05,12.0,0.6965463997685966
0.5,0.0,0.05,13.0,0.5106153930421619
0.5,0.0,0.05,14.0,0.7505998004122226
0.5,0.0,0.05,15.0,0.585641377292254
0.5,0.0,0.05,16.0,0.750025488910772
0.5,0.0,0.05,17.0,0.8616747216281463
0.5,0.0,0.05,18.0,0.9390132788655163
0.5,0.0,0.05,19.0,0.6945362552665626
0.5,0.0,0.05,20.0,0.9594096961179573
0.5,0.0,0.05,21.0,0.8100638228283104
0.5,0.0,0.05,22.0,0.7199460169376031
0.5,0.0,0.05,23.0,0.8580031460209774
0.5,0.0,0.05,24.0,0.9471471687348556
0.5,0.0,0.05,25.0,0.7811492686056666
0.5,0.0,0.05,26.0,0.8833050758828388
0.5,0.0,0.05,27.0,0.9451245164262162
0.5,0.0,0.05,28.0,0.9676661587670118
0.5,0.0,0.05,29.0,0.7919635035840054
0.5,0.0,0.05,30.0,0.9181496816305008
0.5,0.0,0.05,31.0,0.34111602847245287
0.5,0.0,0.05,32.0,0.6939405624207662
0.5,0.0,0.05,33.0,0.763784173460214
0.5,0.0,0.05,34.0,0.4019478897764649
0.5,0.0,0.05,35.0,0.7171988514525923
0.5,0.0,0.05,36.0,0.9614920168610935
0.5,0.0,0.05,37.0,0.7618189488595284
0.5,0.0,0.05,38.0,0.9272639181644651
0.5,0.0,0.05,39.0,0.9538941249679274
0.5,0.0,0.05,40.0,0.8680838424161185
0.5,0.0,0.1,1.0,0.7583840253906207
0.5,0.0,0.1,2.0,0.7860954973100794
0.5,0.0,0.1,3.0,0.8025154623310067
0.5,0.0,0.1,4.0,0.2861563362915474
0.5,0.0,0.1,5.0,0.5969997775972987
0.5,0.0,0.1,6.0,0.9184123244113455
0.5,0.0,0.1,7.0,0.8188477204760183
0.5,0.0,0.1,8.0,0.38097179678159365
0.5,0.0,0.1,9.0,0.0
0.5,0.0,0.1,10.0,0.7460981570733123
0.5,0.0,0.1,11.0,0.534147486649862
0.5,0.0,0.1,12.0,0.6964470295799606
0.5,0.0,0.1,13.0,0.5106153930421619
0.5,0.0,0.1,14.0,0.7505998004122226
0.5,0.0,0.1,15.0,0.589740544548273
