mu,qid,nDCG_R1,nDCG_R2
1e-12,1.0,0.818795913609252,0.8319978523072437
1e-12,2.0,0.7857488312789154,0.8046415471473378
1e-12,3.0,0.751733759490037,0.7680482936173502
1e-12,4.0,0.24163830276878467,0.24411337108422537
1e-12,5.0,0.6204964789553177,0.6355567385338351
1e-12,6.0,0.9262839332407434,0.902287502489438
1e-12,7.0,0.9175123349972735,0.9306323244871701
1e-12,8.0,0.38097179678159365,0.38097179678159365
1e-12,9.0,0.0,0.0
1e-12,10.0,0.7870706655258894,0.766078034378643
1e-12,11.0,0.46577341405668965,0.5451775501244677
1e-12,12.0,0.7246424004526514,0.7186501165958463
1e-12,13.0,0.5054046842175326,0.5526913571250253
1e-12,14.0,0.7420899309615795,0.7533202624683683
1e-12,15.0,0.5989054846274027,0.6595085574924906
1e-12,16.0,0.8191926962377559,0.6944989776486573
1e-12,17.0,0.8640084918634815,0.8751556949642163
1e-12,18.0,0.9336459431539685,0.9357158724649351
1e-12,19.0,0.49445077362246886,0.6254276632823558
1e-12,20.0,0.9693821042893519,0.9712255537240344
1e-12,21.0,0.7890448803168099,0.8457273446600894
1e-12,22.0,0.7232547322814911,0.712561101132997
1e-12,23.0,0.8848886264569884,0.889419103854734
1e-12,24.0,0.9269898410020693,0.933348213036
1e-12,25.0,0.7640275970997943,0.7463754105885285
1e-12,26.0,0.8559675133205152,0.8428486967397528
1e-12,27.0,0.9373663866807193,0.9365403610689254
1e-12,28.0,0.947795542265039,0.9490678955917542
1e-12,29.0,0.802725787791918,0.8228856158709499
1e-12,30.0,0.8733180385717734,0.9012121059577153
1e-12,31.0,0.35133841113813,0.34447918204739914
1e-12,32.0,0.3198063971233834,0.28389953329007117
1e-12,33.0,0.7322365528614783,0.7200089164253747
1e-12,34.0,0.6798579976162658,0.6857282385326757
1e-12,35.0,0.72537225606466,0.6494406099260577
1e-12,36.0,0.9777333274349721,0.978454042480243
1e-12,37.0,0.7476021138193144,0.7483608110230796
1e-12,38.0,0.9309349338062272,0.9453382783356529
1e-12,39.0,0.9565402756878313,0.9719943443993511
1e-12,40.0,0.8494408507426365,0.8107710233751703
1e-10,1.0,0.818795913609252,0.8319978523072437
1e-10,2.0,0.7857488312789154,0.8046415471473378
1e-10,3.0,0.751733759490037,0.7680482936173502
1e-10,4.0,0.24163830276878467,0.24411337108422537
1e-10,5.0,0.6204964789553177,0.6355567385338351
1e-10,6.0,0.9262839332407434,0.902287502489438
1e-10,7.0,0.9175123349972735,0.9306323244871701
1e-10,8.0,0.38097179678159365,0.38097179678159365
1e-10,9.0,0.0,0.0
1e-10,10.0,0.7870706655258894,0.766078034378643
1e-10,11.0,0.46577341405668965,0.5451775501244677
1e-10,12.0,0.7246424004526514,0.7186501165958463
1e-10,13.0,0.5054046842175326,0.5526913571250253
1e-10,14.0,0.7420899309615795,0.7533202624683683
1e-10,15.0,0.5989054846274027,0.6595085574924906
1e-10,16.0,0.8191926962377559,0.6944989776486573
1e-10,17.0,0.8640084918634815,0.8751556949642163
1e-10,18.0,0.9336459431539685,0.9357158724649351
1e-10,19.0,0.49445077362246886,0.6254276632823558
1e-10,20.0,0.9693821042893519,0.9712255537240344
1e-10,21.0,0.7890448803168099,0.8457273446600894
1e-10,22.0,0.7232547322814911,0.712561101132997
1e-10,23.0,0.8848886264569884,0.889419103854734
1e-10,24.0,0.9269898410020693,0.933348213036
1e-10,25.0,0.7640275970997943,0.7463754105885285
1e-10,26.0,0.8559675133205152,0.8428486967397528
1e-10,27.0,0.9373663866807193,0.9365403610689254
1e-10,28.0,0.947795542265039,0.9490678955917542
1e-10,29.0,0.802725787791918,0.8228856158709499
1e-10,30.0,0.8733180385717734,0.9012121059577153
1e-10,31.0,0.35133841113813,0.34447918204739914
1e-10,32.0,0.3198063971233834,0.28389953329007117
1e-10,33.0,0.7322365528614783,0.7200089164253747
1e-10,34.0,0.6798579976162658,0.6857282385326757
1e-10,35.0,0.72537225606466,0.6494406099260577
1e-10,36.0,0.9777333274349721,0.978454042480243
1e-10,37.0,0.7476021138193144,0.7483608110230796
1e-10,38.0,0.9309349338062272,0.9453382783356529
1e-10,39.0,0.9565402756878313,0.9719943443993511
1e-10,40.0,0.8494408507426365,0.8107710233751703
1e-08,1.0,0.818795913609252,0.8319978523072437
1e-08,2.0,0.7857488312789154,0.8046415471473378
1e-08,3.0,0.751733759490037,0.7680482936173502
1e-08,4.0,0.24163830276878467,0.24411337108422537
1e-08,5.0,0.6204964789553177,0.6355567385338351
1e-08,6.0,0.9262839332407434,0.902287502489438
1e-08,7.0,0.9175123349972735,0.9306323244871701
1e-08,8.0,0.38097179678159365,0.38097179678159365
1e-08,9.0,0.0,0.0
1e-08,10.0,0.7870706655258894,0.766078034378643
1e-08,11.0,0.46577341405668965,0.5451775501244677
1e-08,12.0,0.7246424004526514,0.7186501165958463
1e-08,13.0,0.5054046842175326,0.5526913571250253
1e-08,14.0,0.7420899309615795,0.7533202624683683
1e-08,15.0,0.5989054846274027,0.6595085574924906
1e-08,16.0,0.8191926962377559,0.6944989776486573
1e-08,17.0,0.8640084918634815,0.8751556949642163
1e-08,18.0,0.9336459431539685,0.9357158724649351
1e-08,19.0,0.49445077362246886,0.6254276632823558
1e-08,20.0,0.9693821042893519,0.9712255537240344
1e-08,21.0,0.7890448803168099,0.8457273446600894
1e-08,22.0,0.7232547322814911,0.712561101132997
1e-08,23.0,0.8848886264569884,0.889419103854734
1e-08,24.0,0.9269898410020693,0.933348213036
1e-08,25.0,0.7640275970997943,0.7463754105885285
1e-08,26.0,0.8559675133205152,0.8428486967397528
1e-08,27.0,0.9373663866807193,0.9365403610689254
1e-08,28.0,0.947795542265039,0.9490678955917542
1e-08,29.0,0.802725787791918,0.8228856158709499
1e-08,30.0,0.8733180385717734,0.9012121059577153
1e-08,31.0,0.35133841113813,0.34447918204739914
1e-08,32.0,0.3198063971233834,0.28389953329007117
1e-08,33.0,0.7322365528614783,0.7200089164253747
1e-08,34.0,0.6798579976162658,0.6857282385326757
1e-08,35.0,0.72537225606466,0.6494406099260577
1e-08,36.0,0.9777333274349721,0.978454042480243
1e-08,37.0,0.7476021138193144,0.7483608110230796
1e-08,38.0,0.9309349338062272,0.9453382783356529
1e-08,39.0,0.9565402756878313,0.9719943443993511
1e-08,40.0,0.8494408507426365,0.8107710233751703
1e-06,1.0,0.818795913609252,0.8319978523072437
1e-06,2.0,0.7857488312789154,0.8046415471473378
1e-06,3.0,0.751733759490037,0.7680482936173502
1e-06,4.0,0.24163830276878467,0.24411337108422537
1e-06,5.0,0.6204964789553177,0.6355567385338351
1e-06,6.0,0.9262839332407434,0.902287502489438
1e-06,7.0,0.9175123349972735,0.9306323244871701
1e-06,8.0,0.38097179678159365,0.38097179678159365
1e-06,9.0,0.0,0.0
1e-06,10.0,0.7870706655258894,0.766078034378643
1e-06,11.0,0.46577341405668965,0.5451775501244677
1e-06,12.0,0.7246424004526514,0.7186501165958463
1e-06,13.0,0.5054046842175326,0.5526913571250253
1e-06,14.0,0.7420899309615795,0.7533202624683683
1e-06,15.0,0.5989054846274027,0.6595085574924906
1e-06,16.0,0.8191926962377559,0.6944989776486573
1e-06,17.0,0.8640084918634815,0.8751556949642163
1e-06,18.0,0.9336459431539685,0.9357158724649351
1e-06,19.0,0.49445077362246886,0.6254276632823558
1e-06,20.0,0.9693821042893519,0.9712255537240344
1e-06,21.0,0.7890448803168099,0.8457273446600894
1e-06,22.0,0.7232547322814911,0.712561101132997
1e-06,23.0,0.8848886264569884,0.889419103854734
1e-06,24.0,0.9269898410020693,0.933348213036
1e-06,25.0,0.7640275970997943,0.7463754105885285
1e-06,26.0,0.8559675133205152,0.8428486967397528
1e-06,27.0,0.9373663866807193,0.9365403610689254
1e-06,28.0,0.947795542265039,0.9490678955917542
1e-06,29.0,0.802725787791918,0.8228856158709499
1e-06,30.0,0.8733180385717734,0.9012121059577153
1e-06,31.0,0.35133841113813,0.34447918204739914
1e-06,32.0,0.3198063971233834,0.28389953329007117
1e-06,33.0,0.7322365528614783,0.7200089164253747
1e-06,34.0,0.6798579976162658,0.6857282385326757
1e-06,35.0,0.72537225606466,0.6494406099260577
1e-06,36.0,0.9777333274349721,0.978454042480243
1e-06,37.0,0.7476021138193144,0.7483608110230796
1e-06,38.0,0.9309349338062272,0.9453382783356529
1e-06,39.0,0.9565402756878313,0.9719943443993511
1e-06,40.0,0.8494408507426365,0.8107710233751703
0.0001,1.0,0.8292884817792208,0.8319978523072437
0.0001,2.0,0.7857488312789154,0.8046415471473378
0.0001,3.0,0.7456639258269234,0.7680482936173502
0.0001,4.0,0.24163830276878467,0.24411337108422537
0.0001,5.0,0.6204964789553177,0.6355567385338351
0.0001,6.0,0.9262839332407434,0.902287502489438
0.0001,7.0,0.9175123349972735,0.9306323244871701
0.0001,8.0,0.38097179678159365,0.38097179678159365
0.0001,9.0,0.0,0.0
0.0001,10.0,0.7870706655258894,0.766078034378643
0.0001,11.0,0.46577341405668965,0.5451775501244677
0.0001,12.0,0.7246424004526514,0.7186501165958463
0.0001,13.0,0.5054046842175326,0.5526913571250253
0.0001,14.0,0.7420899309615795,0.7533202624683683
0.0001,15.0,0.5989054846274027,0.6595085574924906
0.0001,16.0,0.7895184930848157,0.6944989776486573
0.0001,17.0,0.8640084918634815,0.8751556949642163
0.0001,18.0,0.9336459431539685,0.9357158724649351
0.0001,19.0,0.5082966670461168,0.6254276632823558
0.0001,20.0,0.9693821042893519,0.9712255537240344
0.0001,21.0,0.7890448803168099,0.8457273446600894
0.0001,22.0,0.7234826526599708,0.712561101132997
0.0001,23.0,0.8848886264569884,0.889419103854734
0.0001,24.0,0.9269898410020693,0.933348213036
0.0001,25.0,0.7640275970997943,0.7463754105885285
0.0001,26.0,0.8559675133205152,0.8428486967397528
0.0001,27.0,0.9373663866807193,0.9365403610689254
0.0001,28.0,0.947795542265039,0.9490678955917542
0.0001,29.0,0.802725787791918,0.8228856158709499
0.0001,30.0,0.8747498488400194,0.9012121059577153
0.0001,31.0,0.35133841113813,0.34447918204739914
0.0001,32.0,0.3198063971233834,0.2818490483299022
0.0001,33.0,0.7322365528614783,0.7241145323539697
0.0001,34.0,0.6798579976162658,0.6857282385326757
0.0001,35.0,0.72537225606466,0.6494406099260577
0.0001,36.0,0.9777333274349721,0.978454042480243
0.0001,37.0,0.7476021138193144,0.7483608110230796
0.0001,38.0,0.9309349338062272,0.9453382783356529
0.0001,39.0,0.9565402756878313,0.9719943443993511
